"Time","Cuisine","Extérieur","2ème étage","Chambre 3","Extérieur Cuisine","Extérieur Station météo","Salon","Extérieur Buanderie","2ème étage 2","Chambre3 2","Chambre 2","Chambre 1","Chambre 2 2"
2021-01-06 06:30:00,38,70,,,,,40,75,53,47,54,,
2021-01-06 07:00:00,38,71,55,50,,,40,74,53,47,54,,
2021-01-06 07:30:00,38,72,55,51,,,40,75,53,47,54,,51
2021-01-06 08:00:00,38,,,40,,,41,75,53,42,50,36,34
2021-01-06 08:30:00,37,72,48,39,,,40,75,50,42,50,40,38
2021-01-06 08:45:00,38,,49,42,,,40,75,50,42,49,50,47
2021-01-06 09:00:00,39,71,54,44,,77,40,75,51,43,50,48,45
2021-01-06 09:15:00,38,70,,45,85,,41,74,51,43,50,49,45
2021-01-06 09:45:00,39,,,45,,74,41,71,52,44,51,,45
2021-01-06 10:15:00,39,67,,,,70,41,71,52,44,50,,44
2021-01-06 10:45:00,40,,,46,,68,41,71,52,44,50,48,44
2021-01-06 11:15:00,40,,54,,,,41,71,52,44,50,,
2021-01-06 12:00:00,43,67,,46,,67,41,71,52,44,50,48,44
2021-01-06 12:15:00,43,67,54,,,67,,71,52,44,50,,44
2021-01-06 12:30:00,43,,54,47,,,42,71,52,44,50,49,
2021-01-06 12:45:00,43,67,55,46,,66,,,52,,50,50,45
2021-01-06 13:00:00,42,66,55,47,,64,43,70,52,44,50,51,45
2021-01-06 14:00:00,40,66,56,,,,42,69,53,45,51,,
2021-01-06 14:45:00,37,66,55,50,80,,42,69,52,46,51,49,47
2021-01-06 15:00:00,35,,,50,,65,41,69,52,46,51,,
2021-01-06 15:45:00,40,67,55,46,,67,41,70,52,45,51,49,46
2021-01-06 16:30:00,39,68,54,46,,69,41,70,52,44,51,48,45
2021-01-06 16:45:00,40,68,54,46,,,41,70,52,44,50,47,
2021-01-06 17:00:00,40,,,,,,34,70,52,44,50,,
2021-01-06 17:45:00,40,,,46,,,,,,,,54,45
2021-01-06 18:15:00,37,,60,48,,70,,,,,,52,45
